dataset,alpha,seed,n_lcc,m_lcc,n_comm,Q_orig,m_sparse,realized_retention,Q_fixed_sparse,dQ_fixed,Q_leiden_sparse,dQ_leiden_sparse,F_orig,F_sparse,dF_obs,G_orig,G_sparse,dG_obs,dQ_reconstructed,recon_abs_err,intra_rate,inter_rate,ratio_observed,ratio_predicted,mu_intra,mu_inter,delta,n1,n2
cit-HepTh,0.7,70000,27400,352021,26,0.6566588620689939,140694,0.3996750193880479,0.7060715347902969,0.04941267272130301,0.7216331718637284,0.06497430979473451,0.7344249348760443,0.771639160163191,0.037214225287146685,0.07776607280705047,0.06556762537289414,-0.012198447434156337,0.04941267272130302,1.3877787807814457e-17,0.4199270499317302,0.34366977580010266,0.8184035199827563,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.7,70001,27400,352021,26,0.6566588620689939,140622,0.3994704861357703,0.7050183692593381,0.04835950719034421,0.7205253225563619,0.063866460487368,0.7344249348760443,0.7704271024448521,0.03600216756880781,0.07776607280705047,0.06540873318551434,-0.012357339621536137,0.048359507190343945,2.636779683484747e-16,0.4190528868655065,0.3453170460379942,0.8240416827120497,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.7,70002,27400,352021,26,0.6566588620689939,140753,0.39984262302533086,0.7051316862125853,0.04847282414359133,0.7176602002846673,0.06100133821567333,0.7344249348760443,0.7706762910914865,0.036251356215442176,0.07776607280705047,0.06554460487890126,-0.01222146792814921,0.048472824143591386,5.551115123125783e-17,0.41957893189650836,0.3452635632380626,0.822881076696253,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.7,70003,27400,352021,26,0.6566588620689939,140500,0.39912391590274443,0.7059538823976393,0.04929502032864541,0.7215126811210599,0.064853819052066,0.7344249348760443,0.7714661921708185,0.037041257294774144,0.07776607280705047,0.06551230977317916,-0.01225376303387131,0.04929502032864545,4.163336342344337e-17,0.41925402173030135,0.34345584460037654,0.8192070363043901,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.7,70004,27400,352021,26,0.6566588620689939,140492,0.3991011899858247,0.7052494168033844,0.048590554734390445,0.7184845526166725,0.06182569054767861,0.7344249348760443,0.7708623978589528,0.03643746298290851,0.07776607280705047,0.0656129810555683,-0.012153091751482173,0.04859055473439068,2.3592239273284576e-16,0.4189020357169104,0.34434365907924014,0.8220147665072317,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.7,70005,27400,352021,26,0.6566588620689939,140570,0.39932276767579206,0.706168194065353,0.049509331996359096,0.7227948859512116,0.06613602388221762,0.7344249348760443,0.7718574375755851,0.03743250269954079,0.07776607280705047,0.06568924351023217,-0.012076829296818303,0.049509331996359096,0.0,0.41967563135073666,0.3430386787609105,0.8173900344340504,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.7,70006,27400,352021,26,0.6566588620689939,140739,0.39980285267072135,0.7053945163226464,0.04873565425365245,0.7151252497654093,0.05846638769641532,0.7344249348760443,0.7709305878256916,0.03650565294964725,0.07776607280705047,0.06553607150304513,-0.012230001304005339,0.04873565425365259,1.3877787807814457e-16,0.41967563135073666,0.3448463973985966,0.821697453075128,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.7,70007,27400,352021,26,0.6566588620689939,140691,0.399666497169203,0.7056008048621111,0.048941942793117144,0.7178856995191503,0.061226837450156335,0.7344249348760443,0.7713357641924501,0.03691082931640577,0.07776607280705047,0.06573495933033928,-0.012031113476711194,0.04894194279311696,1.8041124150158794e-16,0.4197529909141193,0.34411903131952765,0.8198131729094309,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.7,70008,27400,352021,26,0.6566588620689939,140094,0.3979705756190682,0.7050744228649286,0.048415560795934676,0.7188948373075144,0.062235975238520425,0.7344249348760443,0.7707539223664112,0.03632898749036684,0.07776607280705047,0.06567949950148283,-0.012086573305567644,0.04841556079593448,1.942890293094024e-16,0.41765654674645014,0.34353072052028066,0.8225196592664221,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.7,70009,27400,352021,26,0.6566588620689939,140769,0.39988807485917033,0.7054092568263582,0.04875039475736431,0.7198426708788103,0.06318380880981633,0.7344249348760443,0.7711854172438534,0.036760482367809044,0.07776607280705047,0.06577616041749512,-0.011989912389555352,0.048750394757364396,8.326672684688674e-17,0.4199038420627154,0.34453619715899364,0.8205121331267431,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
