gen,het_deg,het_size,d_nom,graph_seed,d_avg,mu_real,deg_cv,m,k,sparsifier,target_ret,realized_ret,status,n_metis_seeds,Q_base_mean,Q_base_std,Q_base_min,Q_base_max,AMI_base_mean,AMI_base_std,AMI_base_min,AMI_base_max,Q_sparse_mean,Q_sparse_std,Q_sparse_min,Q_sparse_max,AMI_sparse_mean,AMI_sparse_std,AMI_sparse_min,AMI_sparse_max,dQ,dAMI,worstcase_dQ,worstcase_dAMI
sbm,0,0,25,1,24.7204,0.5986310901118105,0.19756037430806836,123602,100,dspar,0.2,0.1987,ok,10,0.3755500454282358,0.007047514241184712,0.3604688469931305,0.38423358301518284,0.9666449365084727,0.01395898424730526,0.9370525008753416,0.9821125120508006,0.09742830377620286,0.00045334621620527686,0.09667386093545169,0.09812210570941131,0.1575932137058789,0.0035392938568359743,0.15067170857332163,0.16199304523466854,-0.2781217416520329,-0.8090517228025939,-0.28755972207973113,-0.831440803477479
sbm,0,0,25,1,24.7204,0.5986310901118105,0.19756037430806836,123602,100,dspar,0.15,0.14968,ok,10,0.3755500454282358,0.007047514241184712,0.3604688469931305,0.38423358301518284,0.9666449365084727,0.01395898424730526,0.9370525008753416,0.9821125120508006,0.08887340683828229,0.0004340872755414576,0.088293557115564,0.08946587709285754,0.13460816492274813,0.002413050732789165,0.12932389818465534,0.13767525857484986,-0.2866766385899535,-0.8320367715857246,-0.2959400258996189,-0.8527886138661454
sbm,0,0,25,1,24.7204,0.5986310901118105,0.19756037430806836,123602,100,random,0.5,0.5,ok,10,0.3755500454282358,0.007047514241184712,0.3604688469931305,0.38423358301518284,0.9666449365084727,0.01395898424730526,0.9370525008753416,0.9821125120508006,0.31555860654951556,0.010695063954367943,0.3006814340612446,0.33607985386332945,0.8112006973173994,0.02367957387226302,0.7753161458627883,0.8547493355067353,-0.059991438878720216,-0.1554442391910733,-0.08355214895393825,-0.20679636618801234
sbm,0,0,25,1,24.7204,0.5986310901118105,0.19756037430806836,123602,100,random,0.2,0.2,ok,10,0.3755500454282358,0.007047514241184712,0.3604688469931305,0.38423358301518284,0.9666449365084727,0.01395898424730526,0.9370525008753416,0.9821125120508006,0.09649631537529016,0.0007141339458178318,0.09498546987121483,0.0974997226704208,0.1504878501260495,0.0031561477190811954,0.14498798059180806,0.15413125435842245,-0.27905373005294565,-0.8161570863824232,-0.28924811314396803,-0.8371245314589926
sbm,0,0,25,1,24.7204,0.5986310901118105,0.19756037430806836,123602,100,random,0.15,0.15,ok,10,0.3755500454282358,0.007047514241184712,0.3604688469931305,0.38423358301518284,0.9666449365084727,0.01395898424730526,0.9370525008753416,0.9821125120508006,0.08826524053948011,0.00040952675981960096,0.08770855860968338,0.08898021918783007,0.12965175177242472,0.0026994787308547404,0.1264670428399251,0.13347082238045746,-0.2872848048887557,-0.836993184736048,-0.29652502440549944,-0.8556454692108755
sbm,0,0,25,2,24.7212,0.599242755206058,0.19883797125510866,123606,100,lspar,0.5,0.50388,ok,10,0.3753747512564964,0.006841075321028168,0.36398416403423683,0.38938378132545476,0.9660482835150825,0.014490780166948826,0.942974290638528,0.9952390075333954,0.38708687694141963,0.004970781208340962,0.37644541948147997,0.39037130523525,0.9884140679593699,0.011284111468124473,0.9643778337694482,0.9963934673523873,0.011712125684923247,0.022365784444287384,-0.012938361843974788,-0.03086117376394726
sbm,0,0,25,2,24.7212,0.599242755206058,0.19883797125510866,123606,100,lspar,0.2,0.20103,ok,10,0.3753747512564964,0.006841075321028168,0.36398416403423683,0.38938378132545476,0.9660482835150825,0.014490780166948826,0.942974290638528,0.9952390075333954,0.3768787416529692,0.0038848455905238373,0.37065180022114647,0.3797063656872168,0.9510010119763918,0.007694704498367048,0.9383182387622766,0.9566741789373826,0.0015039903964728096,-0.015047271538690787,-0.018731981104308293,-0.056920768771118846
sbm,0,0,25,2,24.7212,0.599242755206058,0.19883797125510866,123606,100,lspar,0.15,0.15428,ok,10,0.3753747512564964,0.006841075321028168,0.36398416403423683,0.38938378132545476,0.9660482835150825,0.014490780166948826,0.942974290638528,0.9952390075333954,0.3634603733098557,0.004457418047046186,0.3563707996224806,0.37086935762857726,0.919659477909119,0.008612090020797216,0.9054787234996706,0.934145687184646,-0.011914377946640686,-0.04638880560596359,-0.033012981702974176,-0.08976028403372482
sbm,0,0,25,2,24.7212,0.599242755206058,0.19883797125510866,123606,100,dspar,0.5,0.50073,ok,10,0.3753747512564964,0.006841075321028168,0.36398416403423683,0.38938378132545476,0.9660482835150825,0.014490780166948826,0.942974290638528,0.9952390075333954,0.31936759571176515,0.011047961160541322,0.2961857692305534,0.3338432905246291,0.8291525025175115,0.026455431045773893,0.7786894119893271,0.8659895818563348,-0.056007155544731235,-0.13689578099757105,-0.09319801209490136,-0.21654959554406839
sbm,0,0,25,2,24.7212,0.599242755206058,0.19883797125510866,123606,100,dspar,0.2,0.20068,ok,10,0.3753747512564964,0.006841075321028168,0.36398416403423683,0.38938378132545476,0.9660482835150825,0.014490780166948826,0.942974290638528,0.9952390075333954,0.09688231450912727,0.0006747112029619093,0.09577252972686306,0.0978194823526587,0.15329760890496585,0.002489246262414123,0.14964004439229367,0.1584286766893458,-0.2784924367473691,-0.8127506746101167,-0.2936112515985917,-0.8455989631411018
