comparison,part_a,part_b,ami
extra-extra,extra_902,extra_914,0.7148941439130766
extra-extra,extra_902,extra_915,0.707128601743943
extra-extra,extra_902,extra_916,0.730108216232485
extra-extra,extra_902,extra_917,0.6808159215102411
extra-extra,extra_902,extra_918,0.7436394388071556
extra-extra,extra_902,extra_919,0.6714656509658321
extra-extra,extra_903,extra_904,0.6694840922833537
extra-extra,extra_903,extra_905,0.682395658625934
extra-extra,extra_903,extra_906,0.7121980806962712
extra-extra,extra_903,extra_907,0.7095262729005645
extra-extra,extra_903,extra_908,0.6803059966001507
extra-extra,extra_903,extra_909,0.6949031915118578
extra-extra,extra_903,extra_910,0.6946867497216324
extra-extra,extra_903,extra_911,0.7176084716980369
extra-extra,extra_903,extra_912,0.6357112346269853
extra-extra,extra_903,extra_913,0.7004879727917489
extra-extra,extra_903,extra_914,0.6757144597662049
extra-extra,extra_903,extra_915,0.6493532100328383
extra-extra,extra_903,extra_916,0.7063652905804361
extra-extra,extra_903,extra_917,0.7044536651892415
extra-extra,extra_903,extra_918,0.6705983708191476
extra-extra,extra_903,extra_919,0.6720556204245084
extra-extra,extra_904,extra_905,0.7499547008268005
extra-extra,extra_904,extra_906,0.666361609581548
extra-extra,extra_904,extra_907,0.7083883355195568
extra-extra,extra_904,extra_908,0.705158728536693
extra-extra,extra_904,extra_909,0.6903539056857093
extra-extra,extra_904,extra_910,0.6726094645183284
extra-extra,extra_904,extra_911,0.6961959454107324
extra-extra,extra_904,extra_912,0.6376295779020874
extra-extra,extra_904,extra_913,0.6492807860006898
extra-extra,extra_904,extra_914,0.766168187594864
extra-extra,extra_904,extra_915,0.6757427892491713
extra-extra,extra_904,extra_916,0.6828369246835264
extra-extra,extra_904,extra_917,0.6950948959594322
extra-extra,extra_904,extra_918,0.7355446153406929
extra-extra,extra_904,extra_919,0.6391894156166651
extra-extra,extra_905,extra_906,0.6807630691739266
extra-extra,extra_905,extra_907,0.7104411117704246
extra-extra,extra_905,extra_908,0.751524485292875
extra-extra,extra_905,extra_909,0.7153689090000148
extra-extra,extra_905,extra_910,0.7776776552225436
extra-extra,extra_905,extra_911,0.7410594415702313
extra-extra,extra_905,extra_912,0.6450745145625747
extra-extra,extra_905,extra_913,0.6919172912076718
extra-extra,extra_905,extra_914,0.7519254484713004
extra-extra,extra_905,extra_915,0.7230463308539008
extra-extra,extra_905,extra_916,0.7014904566161584
extra-extra,extra_905,extra_917,0.7716740189431963
extra-extra,extra_905,extra_918,0.7324221896827987
extra-extra,extra_905,extra_919,0.720893765977225
extra-extra,extra_906,extra_907,0.7246234928464305
extra-extra,extra_906,extra_908,0.6919703195357576
extra-extra,extra_906,extra_909,0.7133068387779007
extra-extra,extra_906,extra_910,0.6623333792665494
