base_comm,seeded_comm,size_base,size_seeded,overlap,jaccard,L_base,L_seeded,vol_base,vol_seeded,contrib_base,contrib_seeded,d_contrib,status
58,-1,12,0,0,0.0,23.0,0.0,47.0,0.0,0.00012718775796681026,0.0,-0.00012718775796681026,base_only
-1,59,0,10,0,0.0,0.0,23.0,0.0,47.0,0.0,0.00012718775796681026,0.00012718775796681026,seeded_only
65,-1,11,0,0,0.0,23.0,0.0,49.0,0.0,0.00012718628974543963,0.0,-0.00012718628974543963,base_only
-1,56,0,11,0,0.0,0.0,22.0,0.0,45.0,0.0,0.00012165852804883138,0.00012165852804883138,seeded_only
60,-1,12,0,0,0.0,22.0,0.0,47.0,0.0,0.00012165712100335118,0.0,-0.00012165712100335118,base_only
47,-1,16,0,0,0.0,22.0,0.0,58.0,0.0,0.00012164828873416845,0.0,-0.00012164828873416845,base_only
-1,54,0,12,0,0.0,0.0,21.0,0.0,43.0,0.0,0.00011612923695496203,0.00011612923695496203,seeded_only
12,16,549,531,517,0.9182948490230906,2545.0,2523.0,5803.0,5725.0,0.013817960268743571,0.013703162303281502,-0.00011479796546206948,matched
69,-1,10,0,0,0.0,19.0,0.0,48.0,0.0,0.00010506448364927492,0.0,-0.00010506448364927492,base_only
-1,71,0,8,0,0.0,0.0,18.0,0.0,38.0,0.0,9.954042309403848e-05,9.954042309403848e-05,seeded_only
55,-1,12,0,0,0.0,17.0,0.0,37.0,0.0,9.40103596545523e-05,0.0,-9.40103596545523e-05,base_only
-1,84,0,7,0,0.0,0.0,16.0,0.0,34.0,0.0,8.848135149917626e-05,8.848135149917626e-05,seeded_only
-1,65,0,9,0,0.0,0.0,16.0,0.0,35.0,0.0,8.848082385712119e-05,8.848082385712119e-05,seeded_only
100,-1,6,0,0,0.0,15.0,0.0,31.0,0.0,8.295220569804673e-05,0.0,-8.295220569804673e-05,base_only
-1,80,0,7,0,0.0,0.0,12.0,0.0,27.0,0.0,6.636206890849236e-05,6.636206890849236e-05,seeded_only
-1,85,0,7,0,0.0,0.0,12.0,0.0,27.0,0.0,6.636206890849236e-05,6.636206890849236e-05,seeded_only
63,-1,11,0,0,0.0,12.0,0.0,29.0,0.0,6.636121244602615e-05,0.0,-6.636121244602615e-05,base_only
74,-1,8,0,0,0.0,12.0,0.0,29.0,0.0,6.636121244602615e-05,0.0,-6.636121244602615e-05,base_only
110,-1,5,0,0,0.0,10.0,0.0,21.0,0.0,5.530299731363014e-05,0.0,-5.530299731363014e-05,base_only
116,-1,5,0,0,0.0,10.0,0.0,21.0,0.0,5.530299731363014e-05,0.0,-5.530299731363014e-05,base_only
102,-1,6,0,0,0.0,10.0,0.0,22.0,0.0,5.5302668493219005e-05,0.0,-5.5302668493219005e-05,base_only
-1,94,0,6,0,0.0,0.0,10.0,0.0,22.0,0.0,5.5302668493219005e-05,5.5302668493219005e-05,seeded_only
82,-1,7,0,0,0.0,10.0,0.0,25.0,0.0,5.530159026814994e-05,0.0,-5.530159026814994e-05,base_only
117,-1,5,0,0,0.0,10.0,0.0,28.0,0.0,5.5300374397327386e-05,0.0,-5.5300374397327386e-05,base_only
-1,106,0,5,0,0.0,0.0,9.0,0.0,19.0,0.0,4.9772972109075485e-05,4.9772972109075485e-05,seeded_only
-1,96,0,5,0,0.0,0.0,7.0,0.0,15.0,0.0,3.871273817229486e-05,3.871273817229486e-05,seeded_only
-1,88,0,6,0,0.0,0.0,7.0,0.0,16.0,0.0,3.8712501115719393e-05,3.8712501115719393e-05,seeded_only
77,-1,8,0,0,0.0,7.0,0.0,17.0,0.0,3.871224876517131e-05,0.0,-3.871224876517131e-05,base_only
93,-1,7,0,0,0.0,7.0,0.0,17.0,0.0,3.871224876517131e-05,0.0,-3.871224876517131e-05,base_only
105,-1,5,0,0,0.0,7.0,0.0,18.0,0.0,3.871198112065062e-05,0.0,-3.871198112065062e-05,base_only
119,-1,4,0,0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,0.0,-3.318252944006888e-05,base_only
125,-1,4,0,0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,0.0,-3.318252944006888e-05,base_only
130,-1,4,0,0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,0.0,-3.318252944006888e-05,base_only
135,-1,4,0,0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,0.0,-3.318252944006888e-05,base_only
-1,110,0,4,0,0.0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,3.318252944006888e-05,seeded_only
