arm,mu,d_nom,lfr_seed,noise_pct,detector,sparsifier,target_ret,realized_ret,status,m_clean,m_noisy,n_added,d_avg_clean,d_avg_noisy,k_planted,m_sparse,AMI_base,ARI_base,Q_noisy_base,Q_clean_base,nc_base,AMI,ARI,Q_noisy_transfer,Q_clean_transfer,nc_sparse,cv_sparse,AMI_chance,dAMI,dARI,dQ_noisy,dQ_clean
C,0.5,25,1,50,metis,lspar,0.5,0.49871,ok,118093,177139,59046,23.6186,35.4278,91,88341,0.43563521969932956,0.24489088454995903,0.15689992308790968,0.19361606033628506,91,0.496982381180867,0.278291806757546,0.1506547825805895,0.19813829850805817,91,0.02759673893778031,0.0008185796829910872,0.06134716148153746,0.033400922207586975,-0.006245140507320168,0.0045222381717731075
C,0.5,25,1,50,leiden,lspar,0.2,0.19782,ok,118093,177139,59046,23.6186,35.4278,91,35042,0.5965182241388122,0.4794273205301516,0.2577523299866335,0.3553311968757624,23.666666666666668,0.5885839506526945,0.5553790484419773,0.2350244605738687,0.3312338180350815,43.0,0.6246745040236282,0.0006353558730615237,-0.007934273486117638,0.0759517279118257,-0.022727869412764806,-0.024097378840680916
C,0.5,25,1,50,metis,lspar,0.2,0.19782,ok,118093,177139,59046,23.6186,35.4278,91,35042,0.43563521969932956,0.24489088454995903,0.15689992308790968,0.19361606033628506,91,0.4596640257422913,0.24135336919993058,0.14089313390968752,0.18334873120255607,91,0.021772000367444425,-0.000231843655122782,0.02402880604296176,-0.0035375153500284418,-0.016006789178222153,-0.010267329133728992
C,0.5,25,1,50,leiden,dspar,0.5,0.50004,ok,118093,177139,59046,23.6186,35.4278,91,88577,0.5965182241388122,0.4794273205301516,0.2577523299866335,0.3553311968757624,23.666666666666668,0.10850177122444182,0.042601395869554144,0.15046557838651534,0.15643535743552608,10.666666666666666,0.6788670196394282,0.0003327259456294329,-0.48801645291437035,-0.43682592466059744,-0.10728675160011816,-0.19889583944023634
C,0.5,25,1,50,metis,dspar,0.5,0.50004,ok,118093,177139,59046,23.6186,35.4278,91,88577,0.43563521969932956,0.24489088454995903,0.15689992308790968,0.19361606033628506,91,0.13293810608610857,0.04996340876470032,0.10538540201592932,0.09851605437182515,91,0.018272383533628006,0.0015666981813905723,-0.302697113613221,-0.1949274757852587,-0.05151452107198036,-0.09510000596445992
C,0.5,25,1,50,leiden,dspar,0.2,0.19919,ok,118093,177139,59046,23.6186,35.4278,91,35285,0.5965182241388122,0.4794273205301516,0.2577523299866335,0.3553311968757624,23.666666666666668,0.02060230624941223,0.005426980832307898,0.07674241289511069,0.061402845358866275,27.0,1.0229970897639096,-0.0001854219736725812,-0.5759159178893999,-0.47400033969784366,-0.1810099170915228,-0.29392835151689617
C,0.5,25,1,50,metis,dspar,0.2,0.19919,ok,118093,177139,59046,23.6186,35.4278,91,35285,0.43563521969932956,0.24489088454995903,0.15689992308790968,0.19361606033628506,91,0.042134386028286966,0.006467115841302079,0.06860003599564313,0.05330857543238588,91,0.016381697103780183,-0.003119510867114676,-0.3935008336710426,-0.23842376870865695,-0.08829988709226655,-0.1403074849038992
C,0.5,25,1,100,leiden,lspar,0.5,0.50202,ok,118093,236186,118093,23.6186,47.2372,91,118571,0.4951470941700278,0.3743906982799217,0.19723501604117163,0.33016863823370884,20.666666666666668,0.6073598415634659,0.5333030176470893,0.19076018900723893,0.349735022529492,27.333333333333332,0.5527607892471634,0.00024645041842951754,0.11221274739343812,0.1589123193671676,-0.006474827033932706,0.019566384295783168
C,0.5,25,1,100,metis,lspar,0.5,0.50202,ok,118093,236186,118093,23.6186,47.2372,91,118571,0.3661327826469286,0.20300757079894485,0.12372854453830016,0.1782429199776871,91,0.43779013647898474,0.24388384592921614,0.1154808507608175,0.18449407453769023,91,0.0256483917624478,-0.00229864985621761,0.07165735383205613,0.04087627513027128,-0.008247693777482662,0.006251154560003136
C,0.5,25,1,100,leiden,lspar,0.2,0.20402,ok,118093,236186,118093,23.6186,47.2372,91,48186,0.4951470941700278,0.3743906982799217,0.19723501604117163,0.33016863823370884,20.666666666666668,0.5537923820291241,0.510362676407914,0.17927957755442178,0.3255175274757636,36.333333333333336,0.5857172328575664,0.0001678778559256239,0.058645287859096284,0.13597197812799228,-0.017955438486749853,-0.0046511107579452204
C,0.5,25,1,100,metis,lspar,0.2,0.20402,ok,118093,236186,118093,23.6186,47.2372,91,48186,0.3661327826469286,0.20300757079894485,0.12372854453830016,0.1782429199776871,91,0.42816793653709884,0.23279278020641653,0.11077565474762727,0.1783034113818433,91,0.022430782420593355,-0.0028333164921025946,0.062035153890170225,0.029785209407471674,-0.012952889790672897,6.0491404156204354e-05
C,0.5,25,1,100,leiden,dspar,0.5,0.49961,ok,118093,236186,118093,23.6186,47.2372,91,118002,0.4951470941700278,0.3743906982799217,0.19723501604117163,0.33016863823370884,20.666666666666668,0.07144644593846165,0.028355919576632877,0.11864961243338697,0.12880461273068258,9.333333333333334,0.6237276338019685,-0.00021120931930711855,-0.4237006482315661,-0.34603477870328886,-0.07858540360778467,-0.20136402550302626
