network,algo,arm,target_ret,spar_seed,algo_seed,realized_ret,m_sparse,Q_native,Q_orig,k,t_detect
ca-CondMat,louvain,dspar,0.5,200,300,0.500624,45700,0.8316062669680011,0.6532470321204955,124,0.07935934595298022
ca-CondMat,louvain,dspar,0.5,200,301,0.500624,45700,0.8305887191224279,0.6492814853875407,122,0.08840070897713304
ca-CondMat,louvain,dspar,0.5,200,302,0.500624,45700,0.8305528192617635,0.647578215843637,126,0.07434192800428718
ca-CondMat,louvain,dspar,0.5,201,300,0.500022,45645,0.8313977510144424,0.6433623381966399,130,0.0785722199943848
ca-CondMat,louvain,dspar,0.5,201,301,0.500022,45645,0.8316607915408651,0.6432213725612915,129,0.08396660297876224
ca-CondMat,louvain,dspar,0.5,201,302,0.500022,45645,0.8318743213007277,0.6446826440706771,127,0.08836396801052615
ca-CondMat,louvain,lspar,0.5,,300,0.497174,45385,0.9282848398900866,0.6613278198107534,501,0.058636684028897434
ca-CondMat,louvain,lspar,0.5,,301,0.497174,45385,0.9284415098474083,0.6607810613389058,507,0.05281046300660819
ca-CondMat,louvain,lspar,0.5,,302,0.497174,45385,0.9283790877138027,0.6619362752399023,511,0.054478988982737064
ca-CondMat,labelprop,baseline,1.0,,100,1.0,91286,0.6274508251637304,0.6274508251637304,1539,0.19341882196022198
ca-CondMat,labelprop,baseline,1.0,,101,1.0,91286,0.6205954952964211,0.6205954952964211,1564,0.16686831699917093
ca-CondMat,labelprop,baseline,1.0,,102,1.0,91286,0.6274214927413805,0.6274214927413805,1526,0.1709151180111803
ca-CondMat,labelprop,dspar,0.8,200,300,0.800473,73072,0.6543620659129628,0.5767420844493045,1754,0.15669083397369832
ca-CondMat,labelprop,dspar,0.8,200,301,0.800473,73072,0.6572451867026357,0.5821157007377513,1771,0.16496061196085066
ca-CondMat,labelprop,dspar,0.8,200,302,0.800473,73072,0.6557756024257072,0.5755618894901504,1729,0.2247011210420169
ca-CondMat,labelprop,dspar,0.8,201,300,0.79986,73016,0.6616317404534803,0.5846306572970794,1733,0.20242626598337665
ca-CondMat,labelprop,dspar,0.8,201,301,0.79986,73016,0.6574421687537307,0.5780977078289995,1753,0.1584315100335516
ca-CondMat,labelprop,dspar,0.8,201,302,0.79986,73016,0.6539793524702481,0.5740406639451934,1784,0.19264655601000413
ca-CondMat,labelprop,dspar,0.5,200,300,0.500624,45700,0.7145365050826339,0.4855950579411536,2226,0.14827306603547186
ca-CondMat,labelprop,dspar,0.5,200,301,0.500624,45700,0.7160405390976388,0.4869478207523546,2192,0.19105905498145148
ca-CondMat,labelprop,dspar,0.5,200,302,0.500624,45700,0.7177186756939348,0.49275505500356037,2205,0.15773779700975865
ca-CondMat,labelprop,dspar,0.5,201,300,0.500022,45645,0.7161030336455866,0.4833344603723207,2229,0.1316989249899052
ca-CondMat,labelprop,dspar,0.5,201,301,0.500022,45645,0.7167323018862312,0.48554745016121026,2238,0.12739130400586873
ca-CondMat,labelprop,dspar,0.5,201,302,0.500022,45645,0.7182830723145627,0.48836494242459894,2206,0.1641518630203791
ca-CondMat,labelprop,lspar,0.5,,300,0.497174,45385,0.8347150614716212,0.5110149621075315,2511,0.08576011197874323
ca-CondMat,labelprop,lspar,0.5,,301,0.497174,45385,0.8333718512647087,0.5085797341372643,2531,0.10531004704535007
ca-CondMat,labelprop,lspar,0.5,,302,0.497174,45385,0.8317042903559195,0.5072129190495911,2536,0.06438418995821849
email-Enron,infomap,baseline,1.0,,100,1.0,180811,0.5304353214842447,0.5304353214842447,1217,1.2437878489727154
email-Enron,infomap,baseline,1.0,,101,1.0,180811,0.5362590162897451,0.5362590162897451,1205,1.2961622109869495
email-Enron,infomap,baseline,1.0,,102,1.0,180811,0.5266551833027531,0.5266551833027531,1255,1.4679785610060208
email-Enron,infomap,dspar,0.8,200,300,0.799913,144633,0.5623154597705754,0.4848592550090582,1090,1.4289343440323137
email-Enron,infomap,dspar,0.8,200,301,0.799913,144633,0.5645596494896793,0.4875678026926876,1075,1.6089272089884616
email-Enron,infomap,dspar,0.8,200,302,0.799913,144633,0.5653039282455323,0.48829697111546233,1080,1.4756307440111414
email-Enron,infomap,dspar,0.8,201,300,0.798298,144341,0.5670039322932718,0.4900854799157972,1087,1.708578502992168
email-Enron,infomap,dspar,0.8,201,301,0.798298,144341,0.5636691929677753,0.4857035459812757,1066,1.4837623340426944
