dataset,n,m,k_gt,condition,seed,true_retention,resolution,n_clusters,AMI,ARI,NMI
email-Eu-core,986,16064,42,resmatch_dspar_paper_08,0,1.0,1.0,8,0.5774916561472868,0.35830612609664525,0.6021580624218643
email-Eu-core,986,16064,42,resmatch_dspar_paper_08,1,1.0,1.0,8,0.5621236978736222,0.3322208274752097,0.5877173591075324
email-Eu-core,986,16064,42,resmatch_dspar_paper_08,2,1.0,1.0,8,0.5597120583264071,0.33017793454725614,0.5853449135790628
email-Eu-core,986,16064,42,resmatch_dspar_paper_08,3,1.0,1.0,8,0.5574707531761826,0.3281319241379798,0.5833760851513908
email-Eu-core,986,16064,42,resmatch_dspar_paper_08,4,1.0,1.0,8,0.5561767481413074,0.3265287907966508,0.5821614025753614
email-Eu-core,986,16064,42,resmatch_dspar_paper_08,5,1.0,1.25,10,0.6011102266436982,0.443728652163394,0.6294271817778703
email-Eu-core,986,16064,42,resmatch_dspar_paper_08,6,1.0,1.0,8,0.5712754621027851,0.3422750171874082,0.5963440251408575
email-Eu-core,986,16064,42,resmatch_dspar_paper_08,7,1.0,1.25,10,0.572219948752942,0.389581183407428,0.6023892611441779
email-Eu-core,986,16064,42,resmatch_dspar_paper_08,8,1.0,1.0,8,0.5534708277770072,0.32828683887457016,0.5796027308653072
email-Eu-core,986,16064,42,resmatch_dspar_paper_08,9,1.0,1.25,10,0.6035794308101192,0.43440765152184807,0.6316730845231477
