network,n,m,sampler,alpha,rep,sparsify_seed,leiden_seed,m_sparse,retention,weight_sum_ratio,Q_P0_orig,Q_P0_sparse_w,dQ_fixed_w,Q_sparse_leiden_w,Q_orig_of_Pw,Q_base_mean,Q_base_std,Q_base_best,transfer_vs_mean,transfer_vs_best,nc_P0,nc_Pw,nc_base_mean,t_sparsify,t_leiden_sparse,t_leiden_orig_mean,ami_Pw,ari_Pw,ami_base_mean,ari_base_mean,ami_base_std,ari_base_std,nc_Pw_orig_labels
wiki-Vote,7066,100736,paper,0.8,1,201,301,33673,0.3342697744599746,1.004324356912069,0.42397618528227865,0.41852885300286347,-0.005447332279415185,0.49596037442811963,0.4045653689744844,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.019859737155059787,-0.022238407594563914,7,11,6.4,0.014918955974280834,0.29898338997736573,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,paper,0.8,2,202,302,33715,0.33468670584498095,1.0084966287884343,0.42397618528227865,0.4213420400328932,-0.0026341452493854334,0.5007493926119416,0.4060667029122615,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.018358403217282715,-0.020737073656786842,7,11,6.4,0.015044288011267781,0.3373853740049526,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,paper,0.8,3,203,303,33601,0.33355503494282085,1.0040029286041516,0.42397618528227865,0.4213065901225405,-0.002669595159738136,0.4945230805825377,0.40318485817516814,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.021240247954376068,-0.023618918393880195,7,9,6.4,0.014943518908694386,0.3242047200910747,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,paper,0.8,4,204,304,33563,0.33317781130876745,1.0019135402527404,0.42397618528227865,0.42617113252680205,0.002194947244523404,0.49855466961556605,0.4067205992863302,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.017704506843214007,-0.020083177282718134,7,10,6.4,0.01478624006267637,0.32591420703101903,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,paper,1.0,0,200,300,38257,0.37977485705209657,1.0012092915593982,0.42397618528227865,0.41660134875087906,-0.007374836531399587,0.4698156337867597,0.3941482212319805,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.030276884897563694,-0.03265555533706782,7,13,6.4,0.017344858963042498,0.33970942709129304,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,paper,1.0,1,201,301,38451,0.3817006829733164,1.0004870557189762,0.42397618528227865,0.41837023464087325,-0.0056059506414053994,0.4840633981886638,0.4074864342112636,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.01693867191828058,-0.019317342357784706,7,10,6.4,0.017466941033490002,0.350609001936391,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,paper,1.0,2,202,302,38586,0.3830408195679797,1.0083880869762043,0.42397618528227865,0.4202516472984029,-0.003724537983875731,0.49286180362992965,0.40844079339679723,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.015984312732746975,-0.0183629831722511,7,9,6.4,0.017558709951117635,0.3156883289339021,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,paper,1.0,3,203,303,38349,0.38068813532401524,1.0034157048563106,0.42397618528227865,0.4189850203164543,-0.004991164965824357,0.4907690046843576,0.4117951014310091,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.012630004698535091,-0.015008675138039218,7,12,6.4,0.017438374925404787,0.34773328609298915,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,paper,1.0,4,204,304,38347,0.38066828144853876,1.001527202229063,0.42397618528227865,0.4251600627032942,0.0011838774210155556,0.4855259677848496,0.4028678366548759,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.021557269474668295,-0.02393593991417242,7,16,6.4,0.017396905925124884,0.33253913896624,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,calibrated,0.9,0,200,300,90744,0.9008100381194409,1.0013772242382324,0.42397618528227865,0.4248483264034518,0.0008721411211731755,0.44508734547228257,0.4256075513532661,0.4244251061295442,0.0027917105133192103,0.42680377656904833,0.0011824452237219063,-0.0011962252157822206,7,5,6.4,0.0179776840377599,0.4197892879601568,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,calibrated,0.9,1,201,301,90631,0.899688294155019,0.9996557737257896,0.42397618528227865,0.42450064939876525,0.0005244641164866004,0.44267154973264855,0.421859826673302,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.0025652794562421866,-0.0049439498957463135,7,7,6.4,0.017588161048479378,0.3840176039375365,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,calibrated,0.9,2,202,302,90644,0.8998173443456162,0.9988014799544868,0.42397618528227865,0.4245118409675876,0.0005356556853089445,0.4455534707538234,0.42500902242121874,0.4244251061295442,0.0027917105133192103,0.42680377656904833,0.0005839162916745355,-0.0017947541478295914,7,7,6.4,0.017236668965779245,0.36915637203492224,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,calibrated,0.9,3,203,303,90732,0.9006909148665819,1.0011763347043583,0.42397618528227865,0.42401173150600985,3.5546223731197646e-05,0.4416804909269257,0.4236934481387888,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.0007316579907554188,-0.0031103284302595458,7,6,6.4,0.01778753602411598,0.41320999001618475,0.39910577340051534,,,,,,,
wiki-Vote,7066,100736,calibrated,0.9,4,204,304,90729,0.9006611340533672,1.0017640458885744,0.42397618528227865,0.4234238860250406,-0.0005522992572380425,0.4460442102530194,0.4259290011987314,0.4244251061295442,0.0027917105133192103,0.42680377656904833,0.0015038950691871888,-0.0008747753703169381,7,6,6.4,0.01809682499151677,0.3834998090751469,0.39910577340051534,,,,,,,
ca-HepTh,8638,24806,paper,0.8,0,200,300,11728,0.47278884140933647,0.9942999331188869,0.7618818232012058,0.7602224996539224,-0.0016593235472833756,0.8617632958298502,0.6060522495003055,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.155314343879983,-0.15630751212493676,47,489,48.8,0.004615872981958091,0.2064824110129848,0.2450745011912659,,,,,,,
ca-HepTh,8638,24806,paper,0.8,1,201,301,11786,0.4751269854067564,1.0007871692042898,0.7618818232012058,0.7590310706100413,-0.002850752591164518,0.8603196782464476,0.6046573811389643,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.15670921224132417,-0.15770238048627794,47,499,48.8,0.0046246390556916595,0.2094770319527015,0.2450745011912659,,,,,,,
ca-HepTh,8638,24806,paper,0.8,2,202,302,11870,0.47851326292026125,1.0034258743562603,0.7618818232012058,0.7590480259625365,-0.002833797238669278,0.8590184383048872,0.6112031687917098,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.15016342458857868,-0.15115659283353244,47,475,48.8,0.004620388965122402,0.2072927759727463,0.2450745011912659,,,,,,,
ca-HepTh,8638,24806,paper,0.8,3,203,303,11847,0.4775860678868016,1.0018310715517174,0.7618818232012058,0.7606089381846869,-0.0012728850165188987,0.8575863068107813,0.604730710799559,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.15663588258072947,-0.15762905082568324,47,496,48.8,0.004661674029193819,0.20466699008829892,0.2450745011912659,,,,,,,
ca-HepTh,8638,24806,paper,0.8,4,204,304,11879,0.4788760783681367,0.9956092017983215,0.7618818232012058,0.7576470250352993,-0.004234798165906439,0.8590441914298975,0.6077432073405641,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.15362338603972436,-0.15461655428467813,47,475,48.8,0.004670355934649706,0.21238159702625126,0.2450745011912659,,,,,,,
ca-HepTh,8638,24806,paper,1.0,0,200,300,13318,0.5368862372006773,0.99565746327843,0.7618818232012058,0.7604602119299837,-0.0014216112712220896,0.8358844857349572,0.6372860338092503,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.12408055957103814,-0.1250737278159919,47,291,48.8,0.005265893065370619,0.20357499702367932,0.2450745011912659,,,,,,,
