network,n,m,sampler,alpha,weighted,rep,sparsify_seed,leiden_seed,m_sparse,retention,Q_P0_orig,Q_P0_sparse,dQ_fixed,Q_sparse_leiden,Q_orig_of_P,Q_base_mean,Q_base_std,Q_base_best,transfer_vs_mean,transfer_vs_best,nc_P0,nc_P,nc_base_mean,t_leiden,ami_P,ari_P,ami_base_mean,ari_base_mean
ca-CondMat,21363,91286,paper,0.8,False,4,204,304,43110,0.4722520430295993,0.731159427192281,0.790470055482673,0.05931062829039202,0.8292210940374097,0.6551816250233188,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.0756085925204294,-0.07728264987286215,54,335,55.2,0.6111148960189894,,,,
ca-CondMat,21363,91286,paper,1.0,False,0,200,300,48934,0.5360515303551475,0.731159427192281,0.7851844298746574,0.05402500268237642,0.8122399109232822,0.6733615395319161,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.057428678011832046,-0.0591027353642648,54,160,55.2,0.6208390099927783,,,,
ca-CondMat,21363,91286,paper,1.0,False,1,201,301,48801,0.5345945709090112,0.731159427192281,0.7883290674107651,0.05716964021848414,0.8168872879366306,0.6797605886538203,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.0510296288899279,-0.05270368624236066,54,165,55.2,0.6165780549636111,,,,
ca-CondMat,21363,91286,paper,1.0,False,2,202,302,48881,0.5354709374931533,0.731159427192281,0.7863353471568899,0.05517591996460891,0.8149331619182784,0.677520670160137,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.05326954738361123,-0.05494360473604398,54,159,55.2,0.6348168589174747,,,,
ca-CondMat,21363,91286,paper,1.0,False,3,203,303,48844,0.5350656179479877,0.731159427192281,0.7880971101577758,0.05693768296549484,0.8172886955601953,0.6809746336634965,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.049815583880251646,-0.0514896412326844,54,158,55.2,0.6303213950013742,,,,
ca-CondMat,21363,91286,paper,1.0,False,4,204,304,48848,0.5351094362771948,0.731159427192281,0.7857324630180305,0.05457303582574946,0.8148571445505021,0.6787940509505777,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.05199616659317052,-0.05367022394560328,54,176,55.2,0.6255249850219116,,,,
ca-CondMat,21363,91286,calibrated,0.9,False,0,200,300,82200,0.9004666652060557,0.731159427192281,0.754282924784367,0.023123497592085984,0.7546732936550222,0.7233312837114562,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.007458933832292014,-0.00913299118472477,54,56,55.2,0.7233960899757221,,,,
ca-CondMat,21363,91286,calibrated,0.9,False,1,201,301,82137,0.8997765265210438,0.731159427192281,0.7558979875174198,0.02473856032513877,0.756814860137466,0.725039534034622,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.00575068350912622,-0.007424740861558976,54,61,55.2,0.710774413892068,,,,
ca-CondMat,21363,91286,calibrated,0.9,False,2,202,302,82133,0.8997327081918366,0.731159427192281,0.7550070770101229,0.02384764981784193,0.7561957958734349,0.7237469228437193,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.007043294700028846,-0.008717352052461602,54,60,55.2,0.7172814169898629,,,,
ca-CondMat,21363,91286,calibrated,0.9,False,3,203,303,82146,0.8998751177617598,0.731159427192281,0.7559174601720791,0.02475803297979806,0.7559924100979182,0.7235110009746928,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.007279216569055391,-0.008953273921488147,54,54,55.2,0.7353840100113302,,,,
ca-CondMat,21363,91286,calibrated,0.9,False,4,204,304,82175,0.9001928006485113,0.731159427192281,0.7561457773980135,0.024986350205732477,0.7563347801986402,0.7232293734912685,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.007560844052479698,-0.009234901404912454,54,54,55.2,0.7378251909976825,,,,
ca-CondMat,21363,91286,calibrated_matched,0.5361,True,0,200,300,48970,0.5364458953180116,0.731159427192281,0.727802645681066,-0.00335678151121499,0.808377539953218,0.6501904962933348,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.08059972125041337,-0.08227377860284613,54,77,55.2,0.5715337180299684,,,,
ca-CondMat,21363,91286,calibrated_matched,0.5361,False,0,200,300,48970,0.5364458953180116,0.731159427192281,0.7986118204921316,0.06745239329985064,0.8262446057979596,0.6629656964888597,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.06782452105488845,-0.06949857840732121,54,101,55.2,0.6132264980114996,,,,
ca-CondMat,21363,91286,calibrated_matched,0.5361,True,1,201,301,48806,0.5346493438205201,0.731159427192281,0.7289289863186563,-0.002230440873624673,0.8092683086052228,0.6414802294505247,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.08930998809322344,-0.09098404544565619,54,81,55.2,0.5698259989731014,,,,
ca-CondMat,21363,91286,calibrated_matched,0.5361,False,1,201,301,48806,0.5346493438205201,0.731159427192281,0.8007612085162291,0.06960178132394812,0.829035114758941,0.663277001702902,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.06751321584084613,-0.06918727319327889,54,103,55.2,0.6035191980190575,,,,
ca-CondMat,21363,91286,calibrated_matched,0.5361,True,2,202,302,49019,0.5369826698507986,0.731159427192281,0.7282814520169913,-0.0028779751752896487,0.8095633166813753,0.6452263527294975,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.08556386481425071,-0.08723792216668347,54,94,55.2,0.583262010011822,,,,
