dataset,n_full,m_full,n_lcc,m_lcc,n_comm,seed,alpha,Q_orig,m_sparse,realized_retention,Q_fixed_sparse,dQ_fixed,F_orig,F_sparse,dF_obs,G_orig,G_sparse,dG_obs,dQ_reconstructed,recon_abs_err,Q_leiden_sparse,dQ_leiden_sparse,n1,n2,preserved_intra,preserved_inter,intra_rate,inter_rate,ratio_observed,ratio_predicted,mu_intra,mu_inter,delta
cit-HepTh,27769,352285,27400,352021,26,80007,0.8,0.6566588620689939,152720,0.4338377539976308,0.7030753208117388,0.046416458742744915,0.7344249348760443,0.7692443687794657,0.03481943390342135,0.07776607280705047,0.0661690479677267,-0.011597024839323775,0.04641645874274512,2.0816681711721685e-16,0.7158597140372135,0.05920085196821956,258533,93488,117479,35241,0.45440620733136583,0.37695747047749445,0.8295605658454538,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464
cit-HepTh,27769,352285,27400,352021,26,80008,0.8,0.6566588620689939,152350,0.4327866803400933,0.7026635290739361,0.04600466700494221,0.7344249348760443,0.7688021004266492,0.03437716555060488,0.07776607280705047,0.06613857135271298,-0.011627501454337497,0.04600466700494238,1.6653345369377348e-16,0.7153764613226609,0.05871759925366693,258533,93488,117127,35223,0.4530446790158316,0.3767649323977409,0.8316286446983628,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464
cit-HepTh,27769,352285,27400,352021,26,80009,0.8,0.6566588620689939,152503,0.43322131350118315,0.7034245303616836,0.04676566829268969,0.7344249348760443,0.7697094483387212,0.035284513462676914,0.07776607280705047,0.06628491797703787,-0.011481154830012608,0.04676566829268952,1.6653345369377348e-16,0.7156410066772642,0.058982144608270226,258533,93488,117383,35120,0.4540348814271292,0.3756631867191511,0.8273883837699011,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464
email-Enron,36692,183831,33696,180811,192,80000,0.8,0.612428927514086,70441,0.38958359834302114,0.7537718553764999,0.14134292786241398,0.7310727776518021,0.8384463593645746,0.10737358171277245,0.11864385013771715,0.08467450398807473,-0.03396934614964242,0.14134292786241487,8.881784197001252e-16,0.790930775492439,0.178501847978353,132186,48625,59061,11380,0.4468022332168308,0.23403598971722364,0.5238021932707019,0.3380421421504586,0.2267208451836091,0.0766412001760297,0.15007964500757942
email-Enron,36692,183831,33696,180811,192,80001,0.8,0.612428927514086,70414,0.3894342711450078,0.7564994186168597,0.1440704911027737,0.7310727776518021,0.8411395461129889,0.11006676846118679,0.11864385013771715,0.08464012749612898,-0.03400372264158817,0.14407049110277498,1.27675647831893e-15,0.7931828686857166,0.18075394117163068,132186,48625,59228,11186,0.44806560452695443,0.23004627249357326,0.5134209592732403,0.3380421421504586,0.2267208451836091,0.0766412001760297,0.15007964500757942
email-Enron,36692,183831,33696,180811,192,80002,0.8,0.612428927514086,70099,0.38769212050151813,0.7563990688649501,0.14397014135086417,0.7310727776518021,0.8405683390633247,0.10949556141152261,0.11864385013771715,0.08416927019837414,-0.03447457993934301,0.1439701413508656,1.4432899320127035e-15,0.7926261661852286,0.18019723867114268,132186,48625,58923,11176,0.44575824973900413,0.22984061696658098,0.5156171918324673,0.3380421421504586,0.2267208451836091,0.0766412001760297,0.15007964500757942
email-Enron,36692,183831,33696,180811,192,80003,0.8,0.612428927514086,70204,0.38827283738268137,0.7556367200403896,0.14320779252630367,0.7310727776518021,0.8399094068714034,0.10883662921960124,0.11864385013771715,0.0842726868310145,-0.034371163306702646,0.1432077925263039,2.220446049250313e-16,0.7951947107627636,0.18276578324867765,132186,48625,58965,11239,0.4460759838409514,0.2311362467866324,0.5181544291993181,0.3380421421504586,0.2267208451836091,0.0766412001760297,0.15007964500757942
email-Enron,36692,183831,33696,180811,192,80004,0.8,0.612428927514086,70297,0.38878718662028305,0.7542024497339149,0.14177352221982897,0.7310727776518021,0.8385137345832682,0.10744095693146605,0.11864385013771715,0.08431128484935481,-0.03433256528836234,0.1417735222198284,5.828670879282072e-16,0.7893328673697696,0.17690393985568365,132186,48625,58945,11352,0.44592468188764317,0.23346015424164523,0.5235416735700419,0.3380421421504586,0.2267208451836091,0.0766412001760297,0.15007964500757942
email-Enron,36692,183831,33696,180811,192,80005,0.8,0.612428927514086,70139,0.3879133459800565,0.75428572616618,0.141856798652094,0.7310727776518021,0.8388200573147607,0.1077472796629586,0.11864385013771715,0.08453433114857889,-0.03410951898913826,0.14185679865209688,2.886579864025407e-15,0.7915513296046227,0.17912240209053676,132186,48625,58834,11305,0.44508495604678255,0.23249357326478148,0.5223577434065065,0.3380421421504586,0.2267208451836091,0.0766412001760297,0.15007964500757942
email-Enron,36692,183831,33696,180811,192,80006,0.8,0.612428927514086,70272,0.38864892069619655,0.757545215098743,0.145116287584657,0.7310727776518021,0.8417150500910747,0.1106422724392726,0.11864385013771715,0.0841698349923306,-0.03447401514538655,0.14511628758465916,2.1649348980190553e-15,0.7944763345192587,0.18204740700517275,132186,48625,59149,11123,0.447467961811387,0.22875064267352185,0.5112112200111948,0.3380421421504586,0.2267208451836091,0.0766412001760297,0.15007964500757942
email-Enron,36692,183831,33696,180811,192,80007,0.8,0.612428927514086,70239,0.38846640967640245,0.7550508041502362,0.14262187663615022,0.7310727776518021,0.8395193553438972,0.10844657769209509,0.11864385013771715,0.08446855119366271,-0.03417529894405444,0.14262187663614953,6.938893903907228e-16,0.7919149824918588,0.1794860549777728,132186,48625,58967,11272,0.4460911140362822,0.23181491002570695,0.5196582104678565,0.3380421421504586,0.2267208451836091,0.0766412001760297,0.15007964500757942
