network,chain,chain_seed,spe,spe_nom,accepted,ami_P0,final,stalled,fresh_n,fresh_m,fresh_n_comms,fresh_Q,fresh_p_intra,fresh_sd_s,fresh_mu_s,fresh_delta,fresh_mu_intra,fresh_mu_inter,fresh_r_pb,fresh_auc_s,fresh_auc_prod,fresh_hb,fresh_deg_R2,fresh_hub_inter_frac,fresh_nonhub_inter_frac,fresh_hub_inter_lift,fresh_assort_deg,fresh_transitivity,fresh_avg_local_cc,fresh_tri_intra,fresh_tri_inter,fresh_tri_frac_intra_ge1,fresh_tri_frac_inter_ge1,fresh_comm_size_mean,fresh_comm_size_max_frac,fresh_comm_size_gini,seconds
ca-GrQc,down,1,0.05,0.05,671,0.7514898322588431,0,0,4158,13422,40,0.825911507762605,0.8716286693488303,0.27938578933003777,0.3097898971837282,0.0013464808207294676,0.3099627467183815,0.308616265897652,0.0016121135713219991,0.41354693619115224,0.5621529031282195,0.2617228625972419,0.19315571401740406,0.10119866378463352,0.14496579863194528,0.7883276061040926,0.6104968624816721,0.606807681676385,0.4196445215300667,11.776818531498419,0.3052814857806152,0.878109240105992,0.2321532211259431,103.95,0.06565656565656566,0.3865319865319867,0.1
ca-GrQc,down,1,0.1,0.1,1342,0.6819075903018399,0,0,4158,13422,39,0.8098328169527803,0.8566532558486067,0.2734474812456645,0.3097898971837282,-0.0536328196371918,0.30210180710907786,0.35573462674626966,-0.06873107772683787,0.3467353899385557,0.6290264844035065,0.17074754289376107,0.1736570634731499,0.09212073696589573,0.17475961538461537,0.6426426879190501,0.597564245431164,0.5966593395021916,0.3340544807917958,11.812141241955123,0.09043659043659044,0.8337971821186293,0.07536382536382537,106.61538461538461,0.061808561808561806,0.3894007227340561,0.1
ca-GrQc,down,1,0.15,0.15,2013,0.6259669537703169,0,0,4158,13422,36,0.8020259568682742,0.848383251378334,0.26885787353519,0.3097898971837282,-0.09464813464641525,0.2954396547455331,0.3900877893919483,-0.12625800781162483,0.2998052436622736,0.6829632653642489,0.12178847337890315,0.16790223780572466,0.07745098039215687,0.1970680124969959,0.5108339355398178,0.5921161081970132,0.5914469614205047,0.28611470076027584,11.831562307894968,0.03734643734643735,0.8083779748836393,0.0343980343980344,115.5,0.0594035594035594,0.32284485062262847,0.1
ca-GrQc,down,1,0.2,0.2,2684,0.588403744945486,0,0,4158,13422,34,0.7996028356001208,0.8469676650275667,0.2644843351670795,0.3097898971837282,-0.12439735876556474,0.29075307890743035,0.4151504376729951,-0.1693309021566737,0.26720827420381577,0.7213478514999997,0.09755764302789864,0.15190297853731083,0.0629905808477237,0.20814316598606775,0.41161615196599205,0.5900937095627212,0.5878140918484198,0.2541038717049939,11.781140042223786,0.022395326192794548,0.7866819141449684,0.020934761441090556,122.29411764705883,0.0707070707070707,0.3356110120816005,0.1
ca-GrQc,down,1,0.3,0.3,4027,0.5462092811324804,0,0,4158,13422,31,0.8055962605046578,0.8537475786022948,0.26159560299921597,0.3097898971837282,-0.16580220722259703,0.2855409229043393,0.45134313012693633,-0.22396293120170063,0.22347798083374792,0.7741581461417052,0.07247908677625242,0.1287454685481143,0.0462234461054288,0.20724394339170066,0.3160525184040069,0.5963500695891898,0.5841548971345083,0.21540832605702653,11.616196875818135,0.015282730514518594,0.7532070861331704,0.015282730514518594,134.1290322580645,0.06541606541606541,0.2732703377864669,0.1
ca-GrQc,down,1,0.4,0.4,5369,0.533632008358734,0,0,4158,13422,33,0.8189571812800264,0.865742810311429,0.2631071994039503,0.3097898971837282,-0.1945973528979441,0.2836638034628151,0.4782611563607592,-0.25215490423289083,0.19808543672072149,0.8049485320384121,0.06156653434213089,0.12656050653673578,0.03270935960591133,0.19599856235773333,0.24363208914014525,0.6061952860967791,0.581403919813618,0.19627667756628325,11.401893287435456,0.012763596004439512,0.7339931153184165,0.009988901220865706,126.0,0.061087061087061086,0.28492719401810307,0.1
ca-GrQc,down,1,0.5,0.5,6711,0.5616974682224025,0,0,4158,13422,38,0.8382828231154198,0.8831768737893011,0.26645985004327505,0.3097898971837282,-0.2333265517183724,0.28253195998402564,0.515858511702398,-0.28126820379366724,0.16954997000065422,0.8407637308339905,0.050679106326396745,0.11289354311949029,0.020693732755222703,0.17525155725922376,0.17713729658201466,0.6155956117378941,0.5811933186790044,0.18548042871367545,11.17369664248355,0.007653061224489796,0.7227096338788594,0.007653061224489796,109.42105263157895,0.05916305916305916,0.30743525480367584,0.1
ca-GrQc,down,1,0.6371,0.6371,8551,0.5711407314340168,1,1,4158,13422,36,0.8640301022562943,0.9086574281031143,0.27361288217332963,0.3097898971837282,-0.27939060439047325,0.28426964081487704,0.5636602452053503,-0.2941792014546551,0.14490416722622398,0.8627969242984489,0.043574624134322254,0.1344039446283093,0.014610069101678183,0.13784851023094413,0.15994808114414738,0.6293906488122358,0.5825359009121661,0.17561737670754035,10.885290259101344,0.011419249592169658,0.7095769104624468,0.011419249592169658,115.5,0.05555555555555555,0.23937790604457287,0.1
ca-GrQc,down,2,0.0,0.0,0,1.0,0,0,4158,13422,42,0.8513623535140842,0.8959171509462077,0.28700993739820324,0.3097898971837282,0.08723506953795679,0.3188695717586444,0.2316345022206876,0.09281489735988588,0.5235911226462407,0.4671170327863241,0.47820995409767336,0.20120241734161926,0.1005940594059406,0.10618729096989966,0.9664806480648065,0.639186140675376,0.6288944756689877,0.5568782161697932,11.728316008316009,1.6492483894058698,0.9212474012474012,0.7816750178954903,99.0,0.06132756132756133,0.3693052978767266,0.1
ca-GrQc,down,2,0.01,0.01,134,0.7854862454918877,0,0,4158,13422,36,0.8452893643946341,0.8931604827894501,0.2854748972819092,0.3097898971837282,0.06602259671556887,0.31684371954180646,0.2508211228262376,0.0714422928770728,0.49594247897362725,0.48863949956465064,0.4145874057364829,0.19311521576933277,0.10286278381046397,0.10924973076462846,0.9627784409372715,0.6298268575979333,0.6222868650704856,0.5231150642919636,11.69069069069069,1.1736401673640167,0.9104938271604939,0.6220362622036262,115.5,0.07311207311207311,0.3768905991128215,0.1
